C85E  B0 03     BCS $C863                       A:00 X:00 Y:00 P:6E SP:FB CYC:299 SL:106
C860  4C 67 C8  JMP $C867                       A:00 X:00 Y:00 P:6E SP:FB CYC:305 SL:108
C867  EA        NOP                             A:00 X:00 Y:00 P:6E SP:FB CYC:314 SL:110
C868  A9 00     LDA #$00                        A:00 X:00 Y:00 P:6E SP:FB CYC:320 SL:112
C86A  85 01     STA $01                         A:00 X:00 Y:00 P:6E SP:FB CYC:326 SL:114
C86C  24 01     BIT $01                         A:00 X:00 Y:00 P:6E SP:FB CYC:335 SL:116
C86E  38        SEC                             A:00 X:00 Y:00 P:2E SP:FB CYC:  3 SL:119
C86F  A9 FF     LDA #$FF                        A:00 X:00 Y:00 P:2F SP:FB CYC:  9 SL:122
C871  48        PHA                             A:FF X:00 Y:00 P:AD SP:FB CYC: 15 SL:125
C872  A9 00     LDA #$00                        A:FF X:00 Y:00 P:AD SP:FA CYC: 24 SL:128
C874  68        PLA                             A:00 X:00 Y:00 P:2F SP:FA CYC: 30 SL:131
C875  F0 09     BEQ $C880                       A:FF X:00 Y:00 P:AD SP:FB CYC: 42 SL:134
C877  10 07     BPL $C880                       A:FF X:00 Y:00 P:AD SP:FB CYC: 48 SL:137
C879  70 05     BVS $C880                       A:FF X:00 Y:00 P:AD SP:FB CYC: 54 SL:140
C87B  90 03     BCC $C880                       A:FF X:00 Y:00 P:AD SP:FB CYC: 60 SL:143
C87D  4C 84 C8  JMP $C884                       A:FF X:00 Y:00 P:AD SP:FB CYC: 66 SL:146
C884  60        RTS                             A:FF X:00 Y:00 P:AD SP:FB CYC: 75 SL:149
C603  20 85 C8  JSR $C885                       A:FF X:00 Y:00 P:AD SP:FD CYC: 93 SL:152
C885  EA        NOP                             A:FF X:00 Y:00 P:AD SP:FB CYC:111 SL:155
C886  18        CLC                             A:FF X:00 Y:00 P:AD SP:FB CYC:117 SL:158
C887  A9 FF     LDA #$FF                        A:FF X:00 Y:00 P:AC SP:FB CYC:123 SL:161
C889  85 01     STA $01                         A:FF X:00 Y:00 P:AC SP:FB CYC:129 SL:164
C88B  24 01     BIT $01                         A:FF X:00 Y:00 P:AC SP:FB CYC:138 SL:167
C88D  A9 55     LDA #$55                        A:FF X:00 Y:00 P:EC SP:FB CYC:147 SL:170
C88F  09 AA     ORA #$AA                        A:55 X:00 Y:00 P:6C SP:FB CYC:153 SL:173
C891  B0 0B     BCS $C89E                       A:FF X:00 Y:00 P:EC SP:FB CYC:159 SL:176
C893  10 09     BPL $C89E                       A:FF X:00 Y:00 P:EC SP:FB CYC:165 SL:179
C895  C9 FF     CMP #$FF                        A:FF X:00 Y:00 P:EC SP:FB CYC:171 SL:182
C897  D0 05     BNE $C89E                       A:FF X:00 Y:00 P:6F SP:FB CYC:177 SL:185
C899  50 03     BVC $C89E                       A:FF X:00 Y:00 P:6F SP:FB CYC:183 SL:188
C89B  4C A2 C8  JMP $C8A2                       A:FF X:00 Y:00 P:6F SP:FB CYC:189 SL:191
C8A2  EA        NOP                             A:FF X:00 Y:00 P:6F SP:FB CYC:198 SL:194
C8A3  38        SEC                             A:FF X:00 Y:00 P:6F SP:FB CYC:204 SL:197
C8A4  B8        CLV                             A:FF X:00 Y:00 P:6F SP:FB CYC:210 SL:200
C8A5  A9 00     LDA #$00                        A:FF X:00 Y:00 P:2F SP:FB CYC:216 SL:203
C8A7  09 00     ORA #$00                        A:00 X:00 Y:00 P:2F SP:FB CYC:222 SL:206
C8A9  D0 09     BNE $C8B4                       A:00 X:00 Y:00 P:2F SP:FB CYC:228 SL:209
C8AB  70 07     BVS $C8B4                       A:00 X:00 Y:00 P:2F SP:FB CYC:234 SL:212
C8AD  90 05     BCC $C8B4                       A:00 X:00 Y:00 P:2F SP:FB CYC:240 SL:215
C8AF  30 03     BMI $C8B4                       A:00 X:00 Y:00 P:2F SP:FB CYC:246 SL:218
C8B1  4C B8 C8  JMP $C8B8                       A:00 X:00 Y:00 P:2F SP:FB CYC:252 SL:221
C8B8  EA        NOP                             A:00 X:00 Y:00 P:2F SP:FB CYC:261 SL:224
C8B9  18        CLC                             A:00 X:00 Y:00 P:2F SP:FB CYC:267 SL:227
C8BA  24 01     BIT $01                         A:00 X:00 Y:00 P:2E SP:FB CYC:273 SL:230
C8BC  A9 55     LDA #$55                        A:00 X:00 Y:00 P:EE SP:FB CYC:282 SL:233
C8BE  29 AA     AND #$AA                        A:55 X:00 Y:00 P:6C SP:FB CYC:288 SL:236
C8C0  D0 09     BNE $C8CB                       A:00 X:00 Y:00 P:6E SP:FB CYC:294 SL:239
C8C2  50 07     BVC $C8CB                       A:00 X:00 Y:00 P:6E SP:FB CYC:300 SL:242
C8C4  B0 05     BCS $C8CB                       A:00 X:00 Y:00 P:6E SP:FB CYC:306 SL:245
C8C6  30 03     BMI $C8CB                       A:00 X:00 Y:00 P:6E SP:FB CYC:312 SL:248
C8C8  4C CF C8  JMP $C8CF                       A:00 X:00 Y:00 P:6E SP:FB CYC:318 SL:251
C8CF  EA        NOP                             A:00 X:00 Y:00 P:6E SP:FB CYC:327 SL:254
C8D0  38        SEC                             A:00 X:00 Y:00 P:6E SP:FB CYC:333 SL:257
C8D1  B8        CLV                             A:00 X:00 Y:00 P:6F SP:FB CYC:339 SL:260
C8D2  A9 F8     LDA #$F8                        A:00 X:00 Y:00 P:2F SP:FB CYC:  4 SL:  3
C8D4  29 EF     AND #$EF                        A:F8 X:00 Y:00 P:AD SP:FB CYC: 10 SL:  7
C8D6  90 0B     BCC $C8E3                       A:E8 X:00 Y:00 P:AD SP:FB CYC: 16 SL: 11
C8D8  10 09     BPL $C8E3                       A:E8 X:00 Y:00 P:AD SP:FB CYC: 22 SL: 15
C8DA  C9 E8     CMP #$E8                        A:E8 X:00 Y:00 P:AD SP:FB CYC: 28 SL: 19
C8DC  D0 05     BNE $C8E3                       A:E8 X:00 Y:00 P:2F SP:FB CYC: 34 SL: 23
C8DE  70 03     BVS $C8E3                       A:E8 X:00 Y:00 P:2F SP:FB CYC: 40 SL: 27
C8E0  4C E7 C8  JMP $C8E7                       A:E8 X:00 Y:00 P:2F SP:FB CYC: 46 SL: 31
C8E7  EA        NOP                             A:E8 X:00 Y:00 P:2F SP:FB CYC: 55 SL: 35
C8E8  18        CLC                             A:E8 X:00 Y:00 P:2F SP:FB CYC: 61 SL: 39
C8E9  24 01     BIT $01                         A:E8 X:00 Y:00 P:2E SP:FB CYC: 67 SL: 43
C8EB  A9 5F     LDA #$5F                        A:E8 X:00 Y:00 P:EC SP:FB CYC: 76 SL: 47
C8ED  49 AA     EOR #$AA                        A:5F X:00 Y:00 P:6C SP:FB CYC: 82 SL: 51
C8EF  B0 0B     BCS $C8FC                       A:F5 X:00 Y:00 P:EC SP:FB CYC: 88 SL: 55
C8F1  10 09     BPL $C8FC                       A:F5 X:00 Y:00 P:EC SP:FB CYC: 94 SL: 59
C8F3  C9 F5     CMP #$F5                        A:F5 X:00 Y:00 P:EC SP:FB CYC:100 SL: 63
C8F5  D0 05     BNE $C8FC                       A:F5 X:00 Y:00 P:6F SP:FB CYC:106 SL: 67
C8F7  50 03     BVC $C8FC                       A:F5 X:00 Y:00 P:6F SP:FB CYC:112 SL: 71
C8F9  4C 00 C9  JMP $C900                       A:F5 X:00 Y:00 P:6F SP:FB CYC:118 SL: 75
C900  EA        NOP                             A:F5 X:00 Y:00 P:6F SP:FB CYC:127 SL: 79
C901  38        SEC                             A:F5 X:00 Y:00 P:6F SP:FB CYC:133 SL: 83
C902  B8        CLV                             A:F5 X:00 Y:00 P:6F SP:FB CYC:139 SL: 87
C903  A9 70     LDA #$70                        A:F5 X:00 Y:00 P:2F SP:FB CYC:145 SL: 91
C905  49 70     EOR #$70                        A:70 X:00 Y:00 P:2D SP:FB CYC:151 SL: 95
C907  D0 09     BNE $C912                       A:00 X:00 Y:00 P:2F SP:FB CYC:157 SL: 99
C909  70 07     BVS $C912                       A:00 X:00 Y:00 P:2F SP:FB CYC:163 SL:103
C90B  90 05     BCC $C912                       A:00 X:00 Y:00 P:2F SP:FB CYC:169 SL:107
C90D  30 03     BMI $C912                       A:00 X:00 Y:00 P:2F SP:FB CYC:175 SL:111
C90F  4C 16 C9  JMP $C916                       A:00 X:00 Y:00 P:2F SP:FB CYC:181 SL:115
C916  EA        NOP                             A:00 X:00 Y:00 P:2F SP:FB CYC:190 SL:119
C917  18        CLC                             A:00 X:00 Y:00 P:2F SP:FB CYC:196 SL:123
C918  24 01     BIT $01                         A:00 X:00 Y:00 P:2E SP:FB CYC:202 SL:127
C91A  A9 00     LDA #$00                        A:00 X:00 Y:00 P:EE SP:FB CYC:211 SL:131
C91C  69 69     ADC #$69                        A:00 X:00 Y:00 P:6E SP:FB CYC:217 SL:135
C91E  30 0B     BMI $C92B                       A:69 X:00 Y:00 P:2C SP:FB CYC:223 SL:139
